ListID,Presented Word,Present Position,Recalled Word,Recall Position,Reaction Time,Hit,Participant ID,Participant Group
2,BÜYÜK,15,,,,0,9,eng
2,İLAÇ,16,,,,0,9,eng
2,KAŞIK,17,kaşık,1.0,1.6518956000218168,1,9,eng
3,KÜÇÜK,1,küçük,1.0,2.9873879000078887,1,9,eng
3,DOLAP,2,dolap,2.0,1.193961000069976,1,9,eng
3,DÜĞME,3,düğme,5.0,5.653775200014934,1,9,eng
3,PARKUR,4,parkur,4.0,3.751992700039409,1,9,eng
3,YATAK,5,,,,0,9,eng
3,KİTAP,6,,,,0,9,eng
3,TOPRAK,7,,,,0,9,eng
3,SALÇA,8,,,,0,9,eng
3,DUVAR,9,,,,0,9,eng
3,LAMBA,10,,,,0,9,eng
3,HALI,11,halı,3.0,1.6170208000112325,1,9,eng
3,FIRIN,12,,,,0,9,eng
3,KOKU,13,,,,0,9,eng
3,KALAS,14,,,,0,9,eng
3,KOLA,15,,,,0,9,eng
3,ODA,16,,,,0,9,eng
3,ÇİÇEK,17,,,,0,9,eng
4,KALIP,1,,,,0,9,eng
4,MARKET,2,,,,0,9,eng
4,TERAS,3,,,,0,9,eng
4,TAHTA,4,tahta,5.0,9.614648399990983,1,9,eng
4,KASA,5,,,,0,9,eng
4,ÇORAP,6,,,,0,9,eng
4,BAHÇE,7,,,,0,9,eng
4,KUTU,8,,,,0,9,eng
4,MEKTUP,9,,,,0,9,eng
4,SULUK,10,,,,0,9,eng
4,SIRA,11,sıra,2.0,2.901619000011124,1,9,eng
4,ZEMİN,12,,,,0,9,eng
4,HARİTA,13,harita,4.0,1.6181763999629766,1,9,eng
4,SİLGİ,14,silgi,3.0,1.7867582000326363,1,9,eng
4,DERGİ,15,,,,0,9,eng
4,HALKA,16,,,,0,9,eng
4,PARA,17,,,,0,9,eng
0,MASA,1,masa,3.0,1.04826489998959,1,8,soc
0,CAM,2,,,,0,8,soc
0,SU,3,su,5.0,1.778125099954195,2,8,soc
0,İYİLİK,4,,,,0,8,soc
0,TÜTÜN,5,tütün,2.0,2.403249899973161,1,8,soc
0,KELİME,6,kelime,1.0,4.949003999936394,1,8,soc
1,EKRAN,1,,,,0,8,soc
1,BİNA,2,,,,0,8,soc
1,SARI,3,,,,0,8,soc
1,KAĞIT,4,,,,0,8,soc
1,ÇANTA,5,,,,0,8,soc
1,KALE,6,,,,0,8,soc
1,KÖPEK,7,,,,0,8,soc
1,ÖLÇEK,8,,,,0,8,soc
1,RAKAM,9,,,,0,8,soc
1,ŞİŞE,10,,,,0,8,soc
1,KOLAY,11,,,,0,8,soc
1,YAZI,12,,,,0,8,soc
1,BEYİN,13,,,,0,8,soc
1,PARK,14,park,3.0,1.5962543999776244,1,8,soc
1,AĞAÇ,15,ağaç,4.0,3.5289933000458404,1,8,soc
1,BARDAK,16,,,,0,8,soc
1,KALEM,17,kalem,2.0,1.6029590000398457,1,8,soc
1,MASA,18,masa,3.0,1.04826489998959,2,8,soc
2,CÜZDAN,1,,,,0,8,soc
2,TOPLU,2,,,,0,8,soc
2,KOLTUK,3,,,,0,8,soc
2,ŞİŞE,4,,,,0,8,soc
2,DEFTER,5,,,,0,8,soc
2,TABAK,6,,,,0,8,soc
2,ELMA,7,,,,0,8,soc
2,TERLİK,8,,,,0,8,soc
2,SEHPA,9,,,,0,8,soc
2,GRUP,10,,,,0,8,soc
2,İLAÇ,11,,,,0,8,soc
2,KAPI,12,,,,0,8,soc
2,KAŞIK,13,,,,0,8,soc
