,LISTID,PRESENTED_WORD,PRESENT_POSITION,HIT,PARTICIPANT_GROUP,MOST_SIM_VAL,MOST_SIM_DIST,AVG_SIM_PREV_1,AVG_CONTRAST_1,AVG_SIM_PREV_5,AVG_CONTRAST_5,PREV_SIM,STM_SEMANTIC_D,STM_MAX_SIM,STM_MAX_SIM_DIST,STM_MAX_SIM_POS,UNIQUENESS,PRESENT_ZONE,SAME_CLUSTER_IN_Z1,SAME_CLUSTER_IN_Z2,SAME_CLUSTER_IN_Z3,SAME_CLUSTER_IN_Z1_COUNT,SAME_CLUSTER_IN_Z2_COUNT,SAME_CLUSTER_IN_Z3_COUNT,CATEGORY_IN_STM_4,CATEGORY_IN_STM_1,CLUSTER,P_ID
6,1,KALEM,1,1,soc,,,,0.661098806490829,,0.5060916218989405,,0.0,1.0,0,0,1.0,1,1,0,1,1,0,2,0,0,8,soc9
7,1,ÖLÇEK,2,0,soc,0.3264311289142347,1.0,0.3264311289142347,0.6434995839885697,0.3264311289142347,0.5477594142717053,0.3264311289142347,0.0,0.3264311289142347,1,0,0.661098806490829,1,1,0,1,1,0,1,0,0,1,soc9
8,1,ÇANTA,3,0,soc,0.36836082413049515,2.0,0.09814947988187869,0.6168133557825657,0.2332551520061869,0.4758563529196004,0.09814947988187869,0.3264311289142347,0.36836082413049515,2,0,0.6323855266871513,1,1,0,0,1,0,0,0,0,5,soc9
9,1,AĞAÇ,4,1,soc,0.462612321243832,2.0,0.456667922479698,0.5045133123840848,0.44945437654807313,0.3974017645960831,0.456667922479698,0.7929414329266086,0.462612321243832,2,1,0.4860720174472348,1,1,0,1,1,0,1,0,0,9,soc9
10,1,PARK,5,0,soc,0.5999582642389087,1.0,0.5999582642389087,0.5898180731223253,0.3385576259324891,0.5180973505991953,0.5999582642389087,2.1413045625708276,0.5999582642389087,1,3,0.5206072037630076,2,0,1,1,0,1,1,0,0,3,soc9
11,1,SARI,6,0,soc,0.282269608051793,5.0,0.09356134374069908,0.6802062102925897,0.1611730911366303,0.5586818050960751,0.09356134374069908,2.1903530271555898,0.20962666624132295,2,3,0.6407154549038125,2,0,1,0,0,2,0,0,0,2,soc9
12,1,ŞİŞE,7,0,soc,0.7290655094278011,4.0,0.16511979017404738,0.6162291190403609,0.3847611632597267,0.43966451444208443,0.16511979017404738,1.8165901493992134,0.7290655094278011,4,2,0.4850537942555223,2,0,1,1,0,1,2,0,0,0,soc9
13,1,BEYİN,8,0,soc,0.39902049243806387,7.0,0.3926957632344366,0.5839006971234646,0.2979357245460536,0.4498292366482848,0.3926957632344366,1.901159080589492,0.3926957632344366,1,6,0.5314892771837161,2,0,1,1,0,1,1,0,0,6,soc9
14,1,BARDAK,9,0,soc,0.9133266973789964,2.0,0.4806540371260736,0.5411514407043877,0.5160853993692835,0.40103296344529593,0.4806540371260736,1.365433328491319,0.9133266973789964,2,6,0.4361955349412783,2,0,1,0,0,2,0,1,0,2,soc9
15,1,MASA,10,0,soc,0.5113822943249875,2.0,0.4671443744649894,0.5936196954857182,0.366229231601286,0.4744869822899356,0.4671443744649894,2.5242973421617996,0.5113822943249875,2,7,0.5139012458527656,3,0,1,1,0,1,2,1,0,0,soc9
16,1,YAZI,11,1,soc,0.7730691951070705,10.0,0.22727038358865126,0.5924086027921922,0.22284790093701332,0.5015851157620186,0.22727038358865126,3.1023316663396057,0.4868718316772624,3,7,0.5983151851679825,3,1,0,1,1,0,2,0,0,8,soc9
17,1,KAĞIT,12,0,soc,0.8790552457670859,8.0,0.4699779847941003,0.5765398917708198,0.5349907148742968,0.4031739156278872,0.4699779847941003,2.3517314403896457,0.7632916113080702,3,8,0.4564972350030093,3,1,0,1,1,0,1,0,0,9,soc9
18,1,BİNA,13,0,soc,0.526662887280119,8.0,0.20140033317492984,0.6446566845555004,0.2278019866768329,0.5222418865019979,0.20140033317492984,2.5231175296561257,0.32865309713256186,3,9,0.5913818598898393,3,0,1,1,0,1,1,0,0,3,soc9
19,1,KOLAY,14,0,soc,0.4734206706671342,2.0,0.21757328697261005,0.6209467290849031,0.28249637283034196,0.536500129592075,0.21757328697261005,1.8043022268329114,0.4734206706671342,2,11,0.5708175503362611,3,0,0,1,0,0,1,0,0,7,soc9
20,1,RAKAM,15,0,soc,0.7057482398165602,4.0,0.28238371705315357,0.5882266994338875,0.41233676673161324,0.46460410696060905,0.28238371705315357,1.8093572892941863,0.7057482398165602,4,10,0.4631855321109156,3,1,0,1,1,0,2,1,0,8,soc9
21,1,KÖPEK,16,0,soc,0.7030623490479981,8.0,0.3241388164109434,0.6670653929825615,0.32372754075251403,0.5167374624398545,0.3241388164109434,1.977872550818812,0.5652011362224488,4,11,0.5149701202400289,3,0,1,1,0,1,1,0,0,6,soc9
22,1,EKRAN,17,0,soc,0.17971877537199893,15.0,0.06892109976867276,0.7264002313799109,0.09363739066761669,0.6448755515411029,0.06892109976867276,1.5342487402001592,0.16685243706845343,2,14,0.6588988859937254,3,1,0,1,1,0,1,0,0,1,soc9
23,1,KALE,18,0,soc,0.5201944127892401,17.0,0.0565781266529315,0.7879581683125618,0.09531248421940709,0.6350035179575382,0.0565781266529315,1.0860733886742908,0.1013962364792445,2,15,0.6671362716679368,3,0,1,1,0,1,2,0,0,0,soc9
24,2,TABAK,1,0,soc,,,,0.5377285156773015,,0.45670435126029874,,0.0,1.0,0,0,1.0,1,1,0,1,1,0,2,0,0,2,soc9
